word,transcription,translation,example_en,example_ru,audio_url
mention,[ˈmenʃən],упоминать,He didn't mention the problem.,Он не упомянул о проблеме.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/mention--_us_1.mp3
sunbathing,[ˈsʌnbeɪðɪŋ],загорание,I enjoy sunbathing on the beach.,Я люблю загорать на пляже.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sunbathing--_us_1.mp3
hotel,[hoʊˈtel],отель,We stayed at a nice hotel.,Мы остановились в хорошем отеле.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/hotel--_us_1.mp3
pack,[pæk],пакет; упаковывать,Don't forget to pack your suitcase.,Не забудь упаковать чемодан.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/pack--_us_1.mp3
book,[bʊk],книга; бронировать,I need to book a flight.,Мне нужно забронировать рейс.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/book--_us_1.mp3
camping,[ˈkæmpɪŋ],кемпинг,We went camping last weekend.,Мы ходили в поход на прошлых выходных.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/camping--_us_1.mp3
sightseeing,[ˈsaɪtsiːɪŋ],осмотр достопримечательностей,We did some sightseeing in the city.,Мы осмотрели достопримечательности города.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sightseeing--_us_1.mp3
amusement,[əˈmjuːzmənt],развлечение,The amusement park was crowded.,Парк развлечений был переполнен.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/amusement--_us_1.mp3
parcel,[ˈpɑːrsəl],посылка,The parcel arrived yesterday.,Посылка прибыла вчера.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/parcel--_us_1.mp3
break,[breɪk],перерыв; ломать,Let's take a break.,Давайте сделаем перерыв.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/break--_us_1.mp3
Heimlich maneuver,[ˈhaɪmlɪk məˈnuːvər],приём Геймлиха,The Heimlich maneuver saved his life.,Приём Геймлиха спас ему жизнь.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/maneuver--_us_1.mp3
burn,[bɜːrn],ожог; гореть,She got a burn from the hot water.,Она получила ожог от горячей воды.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/burn--_us_1.mp3
first aid,[fɜːrst eɪd],первая помощь,He knows first aid.,Он знает первую помощь.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/aid--_us_1.mp3
cost,[kɔːst],стоимость; стоить,What does it cost?,Сколько это стоит?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/cost--_us_1.mp3
pill,[pɪl],таблетка,Take one pill twice a day.,Принимайте по одной таблетке дважды в день.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/pill--_us_1.mp3
